Rank,Nombre,Sector,Web,Teléfono 1,Teléfono 2,Email,Dirección,Oportunidad,Puntuación,Carencias,Estado,Mensaje de contacto
1,Evolution Boutique Fitness,Gimnasio / Entrenamiento personal,https://evolutionboutiquefitness.com,,,,"Calle San Vicente Ferrer 6, Granada Centro",ALTA,5,"Sin teléfono visible · Sin email público · Sin automatizaciones IA · Sin captación de leads",Por contactar,"Hola, soy [Tu nombre] y trabajo con centros de entrenamiento personal en Granada. He visitado vuestra web y veo que tenéis una propuesta muy buena, pero me ha sido imposible encontrar vuestro teléfono o email — eso significa que muchos posibles clientes tampoco pueden contactaros. Con un sistema de captación automática de leads + seguimiento por WhatsApp, podríais llenar vuestra agenda sin depender de que os busquen en Instagram. ¿Hablamos 15 minutos esta semana?"
2,Vitasthetic,Clínica de medicina estética,https://vitasthetic.es,635 60 82 59,,"","P.º del Violón s/n, 18006 Granada",ALTA,4,"Sin blog ni SEO · Sin citas online · Sin email público · Sin automatizaciones",Por contactar,"Buenos días, me llamo [Tu nombre] y ayudo a clínicas de medicina estética en Granada a conseguir más pacientes. He visto vuestra web — tenéis potencial pero sin blog ni citas online sois casi invisibles en Google. Con contenido SEO + reservas automáticas, captaríais consultas sin estar al teléfono constantemente. ¿Os viene bien hablar esta semana?"
3,Fisioterapia Granada,Fisioterapia,https://fisioterapia-granada.es,858 984 060,679 081 556,info@fisioterapia-granada.es,"Calle Nueva de San Antón 16, 1ºG, Granada",ALTA,4,"Sin citas online · Sin recordatorios automáticos · Sin chatbot IA",Por contactar,"Hola, soy [Tu nombre] y me dedico a ayudar a centros de fisioterapia a automatizar la gestión de pacientes. Tenéis buen blog y presencia en redes, pero sin citas online perdéis pacientes que llegan fuera de horario. Un sistema de reservas automáticas con recordatorios por WhatsApp os llenaría la agenda sin esfuerzo manual. ¿Hablamos?"
4,Carmen Rojas Fisioterapia y Pilates,Fisioterapia,https://carmenrojasfisioterapia.es,640 267 020,,,"Granada Centro",ALTA,4,"Sin citas online · Sin email visible · Sin automatizaciones de seguimiento",Por contactar,"Hola, me llamo [Tu nombre] y trabajo con centros de fisioterapia en Granada. Tenéis web cuidada y buen contenido, pero sin citas online los pacientes tienen que llamar para todo. Con un sistema automático de reservas y confirmaciones, recuperáis horas de gestión cada semana. ¿Hablamos esta semana?"
5,Trauma Granada,Fisioterapia / Rehabilitación,https://traumagranada.com,958 080 985,958 078 606,info@traumagranada.com,Granada,ALTA,4,"Sin citas online · Sin chatbot IA · Sin automatizaciones de seguimiento post-visita",Por contactar,"Hola, soy [Tu nombre] y ayudo a clínicas de rehabilitación en Granada. Tenéis muy buena presencia digital — blog activo, TikTok, LinkedIn — pero sin citas online perdéis pacientes que llegan de redes y no quieren llamar. Un chatbot de IA + reservas automáticas completaría el círculo. ¿Os interesa verlo?"
6,Miguel Peña Osteopatía,Fisioterapia / Osteopatía,https://www.miguelpenaosteopata.com,606 61 05 16,608 75 71 68,,"Granada",ALTA,4,"Sin redes sociales visibles · Sin citas online reales · Sin email público · Sin seguimiento post-tratamiento",Por contactar,"Hola, me llamo [Tu nombre] y trabajo con osteopatas en Granada. Tenéis experiencia y buenas valoraciones, pero poca visibilidad online: sin redes activas y sin citas online dependéis del boca a boca. Con redes + automatización de citas, podríais duplicar nuevos pacientes en 2-3 meses. ¿Hablamos?"
7,Gimnasio TNT,Gimnasio,https://gimnasiotnt.com,604 833 956,958 08 88 72,,"C. Abderrahman, 2, Granada",ALTA,4,"Sin blog ni SEO · Sin email visible · Sin automatizaciones de fidelización · Sin captación de leads automática",Por contactar,"Hola, soy [Tu nombre] y ayudo a gimnasios en Granada a captar y fidelizar socios con IA. Tenéis buena presencia en Instagram y tarifas competitivas, pero sin blog ni captación automática perdéis a los que os buscan en Google. Con SEO + WhatsApp automatizado, reduciríais la rotación de socios y aumentaríais las altas. ¿Os interesa conocerlo?"
8,Diéguez Abogados,Abogados,https://dieguezabogados.com,958 29 49 49,,info@dieguezabogados.com,Granada,ALTA,4,"Sin blog ni SEO · Sin redes sociales · Sin captación automática · Sin seguimiento de leads",Por contactar,"Hola, me llamo [Tu nombre] y trabajo con despachos de abogados en Granada. He revisado vuestra web — bien estructurada y contacto claro, pero sin blog ni redes no aparecéis cuando alguien busca 'abogado laboral Granada' en Google. Con contenido jurídico SEO + automatización de consultas, vuestros clientes os encontrarían antes que a la competencia. ¿Hablamos?"
9,Insúa Peluquerías,Peluquería,https://insuapeluquerias.es,958 25 45 95,,info@insuapeluquerias.es,"Granada (4 salones)",ALTA,4,"Sin citas online · Sin recordatorios automáticos · Sin fidelización automatizada",Por contactar,"Hola, soy [Tu nombre] y ayudo a peluquerías en Granada. Tenéis blog, redes y 4 salones — operación grande para gestionar todo manualmente. Sin citas online, vuestro equipo invierte horas en llamadas que podrían automatizarse. Con reservas automáticas + recordatorios + recuperación de clientes inactivos, llenaríais la agenda sola. ¿Os cuento cómo?"
10,Duo Peluqueros,Peluquería,https://duopeluqueros.es,,,,"Granada Centro",ALTA,4,"Sin teléfono visible · Sin email público · Sin automatizaciones de marketing · Sin seguimiento de clientes",Por contactar,"Hola, me llamo [Tu nombre] y trabajo con peluquerías en Granada. Tenéis sistema de reservas online — un gran paso. Lo que falta es el lado de marketing: sin teléfono ni email visibles, perdéis clientes que buscan contactar directamente. Y sin seguimiento automático post-visita, cada cliente nuevo empieza de cero. Con fidelización por WhatsApp, los clientes vuelven solos. ¿Hablamos?"
11,Peluquería Rodríguez,Peluquería,https://www.peluqueriarodriguez.es,958 12 08 63,,,"Av. de América, 45, 18008 Granada",ALTA,4,"Sin blog ni SEO · Sin email visible · Sin automatizaciones · Sin captación de reseñas",Por contactar,"Hola, soy [Tu nombre] y ayudo a peluquerías en Granada. Tenéis 40+ años de experiencia y una reputación enorme, pero sin blog ni email la web no os atrae tráfico nuevo. Con un sistema automático que pida reseñas después de cada visita, triplicaríais vuestra valoración en Google en pocas semanas. ¿Os cuento cómo?"
12,Bavilon Hair Studio,Peluquería / Barbería,https://www.bavilonhair.com,,,,"Granada",ALTA,4,"Sin teléfono visible · Sin email público · Sin redes sociales visibles · Sin blog ni SEO",Por contactar,"Hola, me llamo [Tu nombre] y trabajo con peluquerías en Granada. He visitado vuestra web y, aunque tenéis reservas online, no encuentro teléfono, email ni redes — eso dificulta la confianza del cliente nuevo. Una web actualizada + Instagram activo + reseñas en Google automáticas marcaría una gran diferencia en vuestra captación. ¿Hablamos esta semana?"
13,Nina Merli Centro de Estética,Estética / Belleza,https://www.ninamerli.com,958 25 66 04,958 26 24 25,,"Granada",ALTA,4,"Sin citas online · Sin email visible · Sin automatizaciones de seguimiento · Sin captación de reseñas",Por contactar,"Hola, soy [Tu nombre] y ayudo a centros de estética en Granada. Tenéis blog activo y redes, pero sin citas online las clientas tienen que llamar — y muchas no lo hacen. Con reservas automáticas + recordatorios + solicitud de reseñas post-visita, convertís la satisfacción en nuevos clientes sin trabajo extra. ¿Os interesa verlo?"
14,Alice Beauty Concept,Estética / Belleza,https://alicebeautyconcept.es,858 959 653,628 613 180,info@alicebeautyconcept.es,Granada,ALTA,4,"Sin citas online automáticas · Sin chatbot de atención · Sin automatizaciones de fidelización",Por contactar,"Hola, me llamo [Tu nombre] y trabajo con centros de estética en Granada. Tenéis más de 20 años de experiencia y web cuidada, pero sin citas online invertís tiempo en gestión manual que podría automatizarse. Un sistema de reservas + chatbot IA os liberaría horas cada semana. ¿Hablamos?"
15,Salus Medical Clinic,Clínica de medicina estética,https://salusmc.com,958 223 310,674 233 320,medicos@salusmc.com,"Calle Gral. Narváez, 1, local 3, 18002 Granada",ALTA,3,"Sin citas online integradas · Sin chatbot de IA · Sin seguimiento automático post-consulta",Por contactar,"Hola, soy [Tu nombre] y ayudo a clínicas de medicina estética a convertir más visitas web en pacientes. Tenéis web excelente, blog activo y buena presencia, pero sin citas online perdéis interesados que no quieren llamar. Un sistema de reservas + chatbot IA completaría vuestra presencia digital. ¿Os cuento cómo?"
16,Rosa Pérez Fisioterapia,Fisioterapia,https://rosaperezfisioterapia.com,656 320 853,,info@rosaperezfisioterapia.com,Granada,ALTA,3,"Sin chatbot IA · Sin captación automática de reseñas · Sin recordatorios automatizados",Por contactar,"Hola, soy [Tu nombre] y trabajo con fisioterapeutas en Granada. Tenéis 5 estrellas y 82 reseñas — fantástico. Lo que añadiría es la capa de automatización: recordatorios de cita por WhatsApp y solicitud automática de reseñas. Pequeños pasos con gran impacto en fidelización. ¿Hablamos?"
17,JW Entrenamiento Granada,Gimnasio / Entrenamiento personal,https://jimenezwaddington.com,613 894 102,,,"Av. Federico García Lorca, 30, 18014 Granada",ALTA,3,"Sin email visible · Sin citas online automáticas · Sin seguimiento de leads automatizado",Por contactar,"Hola, me llamo [Tu nombre] y ayudo a centros de entrenamiento en Granada. Tenéis blog, redes y tres centros — operación seria. Lo que falta es el sistema de captación automático: cuando alguien pide la sesión gratuita, un sistema IA hace el seguimiento por WhatsApp hasta que se apunta. ¿Os interesa conocerlo?"
18,Sigma Training Granada,Gimnasio / Entrenamiento funcional,https://stgranada.es,630 58 91 78,687 081 643,,"Granada",ALTA,3,"Sin email visible · Sin automatizaciones IA de captación · Sin seguimiento post-clase",Por contactar,"Hola, soy [Tu nombre] y trabajo con centros de entrenamiento funcional en Granada. Tenéis app propia y buena presencia digital — el siguiente nivel es la automatización de captación: leads de Instagram o web que reciben seguimiento personalizado por WhatsApp hasta que se apuntan. ¿Hablamos esta semana?"
19,JG Fitness Granada,Gimnasio / Entrenamiento personal,https://jgfitness.es,682 022 895,,,"Camino de Ronda, Granada",ALTA,3,"Sin email visible · Sin citas online automáticas · Sin automatizaciones de fidelización",Por contactar,"Hola, me llamo [Tu nombre] y ayudo a entrenadores personales en Granada. Tenéis blog, redes y buena propuesta, pero el proceso de captación es manual. Con un sistema que automatice el seguimiento desde el primer contacto hasta la firma, ahorráis tiempo y cerráis más clientes. ¿Os cuento cómo?"
20,Fit2Grow Granada,Gimnasio / Entrenamiento y nutrición,https://fit2grow.es,635 997 145,,info@fit2grow.es,Granada,ALTA,3,"Sin citas online · Sin chatbot de atención · Sin automatizaciones de nutrición con IA",Por contactar,"Hola, soy [Tu nombre] y trabajo con centros de entrenamiento y nutrición en Granada. Tenéis blog activo y buenos servicios, pero sin citas online perdéis clientes que prefieren no llamar. Además, hay una oportunidad enorme de usar IA para personalizar planes nutricionales automáticamente. ¿Hablamos?"
21,Recover Abogados,Abogados,https://recoverabogados.es,958 28 38 19,675 90 75 16,info@recoverabogados.es,"C. Alonso Cano, 17, 18002 Granada",MEDIA,3,"Sin chat en vivo · Sin automatizaciones de seguimiento · Sin captación de reseñas automática",Por contactar,"Hola, me llamo [Tu nombre] y ayudo a despachos de abogados en Granada. Tenéis muy buena presencia — blog, YouTube, formulario. Lo que añadiría es un chatbot de IA que cualifique al cliente fuera de horario y un sistema automático de reseñas en Google. ¿Os interesa explorarlo?"
22,TorresCollados Abogados,Abogados,https://www.torrescolladosabogados.com,625 58 22 38,655 99 23 86,,"Granada y Baza",MEDIA,3,"Sin email visible · Sin chatbot IA · Sin automatizaciones de captación de consultas",Por contactar,"Hola, soy [Tu nombre] y trabajo con despachos de abogados en Granada. Tenéis blog, redes y formulario de cita — buena base. Lo que falta es un chatbot de IA que atienda al cliente potencial fuera de horario y lo cualifique antes de que llegue a vosotros. ¿Hablamos?"
23,Agatha Beauty,Estética / Belleza,https://agatha.beauty,958 20 06 01,,,"Av. del Sur, 8, 18014 Granada",MEDIA,3,"Sin email visible · Sin redes sociales visibles en web · Sin automatizaciones de fidelización",Por contactar,"Hola, me llamo [Tu nombre] y ayudo a centros de estética en Granada. Tenéis citas online y buena oferta de servicios. Lo que potenciaría vuestros resultados es un sistema de seguimiento post-visita — mensajes automáticos que recuerdan la próxima cita, ofrecen bonos y piden reseñas en Google. ¿Os cuento más?"
24,Centro Suelo Pélvico Granada,Fisioterapia especializada,https://suelopelvicogranada.es,663 395 214,,suelopelvicogranada@gmail.com,Granada,MEDIA,2,"Sin chatbot IA · Sin automatizaciones de educación al paciente · Email en Gmail no corporativo",Por contactar,"Hola, soy [Tu nombre] y trabajo con especialistas en fisioterapia en Granada. Tenéis web completa y citas online — enhorabuena. Lo que añadiría valor es un chatbot de IA que eduque a las pacientes sobre el suelo pélvico antes de la primera visita y un email corporativo que transmita más profesionalidad. ¿Os interesa explorarlo?"
