Name,Tipo de actividad,Fecha de actividad,Resultado,Resumen actividad,Responsable,Leads,Mes y Año
Trauma Granada - Email,Email,10/5/2026,No responde,,,Trauma Granada,10 May 2026
Diéguez Abogados - Email,Email,10/5/2026,No responde,,,Diéguez Abogados,10 May 2026
Insúa Peluquerías - Email,Email,10/5/2026,No responde,,,Insúa Peluquerías,10 May 2026
Salus Medical Clinic - Email,Email,10/5/2026,No responde,,,Salus Medical Clinic,10 May 2026
Alice Beauty Concept - Email,Email,10/5/2026,No responde,,,Alice Beauty Concept,10 May 2026
Rosa Pérez Fisioterapia - Email,Email,10/5/2026,No responde,,,Rosa Pérez Fisioterapia,10 May 2026
Fit2Grow Granada - Email,Email,10/5/2026,No responde,,,Fit2Grow Granada,10 May 2026
Recover Abogados - Email,Email,10/5/2026,No responde,,,Recover Abogados,10 May 2026
Centro Suelo Pélvico Granada - Email,Email,10/5/2026,No responde,,,Centro Suelo Pélvico Granada,10 May 2026
Proactiva Fisioterapia - Email,Email,10/5/2026,No responde,,,Proactiva Fisioterapia,10 May 2026
Muñoz Quesada Abogados - Email,Email,10/5/2026,No responde,,,Muñoz Quesada Abogados,10 May 2026
Abadys Abogados - Email,Email,10/5/2026,No responde,,,Abadys Abogados,10 May 2026
FRB Abogados - Email,Email,10/5/2026,No responde,,,FRB Abogados,10 May 2026
Clínica Centro Granada - Email,Email,10/5/2026,No responde,,,Clínica Centro Granada,10 May 2026
Dra. Ana Maldonado - Email,Email,10/5/2026,No responde,,,Dra. Ana Maldonado,10 May 2026
Clínica Beiman Granada - Email,Email,10/5/2026,No responde,,,Clínica Beiman Granada,10 May 2026
Sano Center Granada - Email,Email,10/5/2026,No responde,,,Sano Center Granada,10 May 2026
Ángel M. Peluquerías - Email,Email,10/5/2026,No responde,,,Ángel M. Peluquerías,10 May 2026
Be/cool Granada - Email,Email,10/5/2026,No responde,,,Be/cool Granada,10 May 2026
Uve Gara Clínica Estética - Email,Email,10/5/2026,No responde,,,Uve Gara Clínica Estética,10 May 2026
Sigma Training Granada - Email,Email,10/5/2026,No responde,,,Sigma Training Granada,10 May 2026
Gimnasio TNT - Email,Email,10/5/2026,No responde,,,Gimnasio TNT,10 May 2026
Pozo Abogados & Asociados - Email,Email,10/5/2026,No responde,,,Pozo Abogados & Asociados,10 May 2026
JW Entrenamiento Granada - Email,Email,10/5/2026,No responde,,,JW Entrenamiento Granada,10 May 2026
Clínica Amédic - Llamada,Llamada,12/5/2026,Contactado,,,Clínica Amédic,12 May 2026
