Nombre,Estado,Canal,Teléfono 1,Email,Web,Notas,Ciudad,Carencias,Nº actividades,Oportunidad,Mensaje de contacto,Fecha primer contacto,Linkedin,Número de actividades,Creada,Actividades,Fuente de adquisición,Fecha seguimiento,Responsable,Actividades1,Último seguimiento,Días sin contacto,🚨 Lead Atrasado,Ventas,Mes y año
Podología Podozaidín,Pendiente,,958 084 507,info@podozaidin.com,http://www.podozaidin.com/,"Podólogos: Francisco Ocete Ocete (col. nº543) y Vanessa Benavides Linares (col. nº611). Consulta principal en C/ Pavía 19, 1ºA, Zaidín (Granada). Segunda consulta en Plaza Castillejos 3, Bajo, Maracena (tel. 958 071 185 / 675 712 308, email info@podologiamaracena.com).",granada,Web con errores PHP visibles ('Undefined variable') en el menú de navegación - imagen poco profesional. Sin sistema de reservas online (solo teléfono). Trata datos de salud podológica de pacientes (RGPD).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Almusalud Las Gabias - Podología,Pendiente,,958 58 61 80,,https://almusalud.com/clinicas/las-gabias/,"Podóloga: Lorena Pacheco Marín, +10 años de experiencia, especialista en biomecánica y podología dermatológica. C/ Real de Málaga 20, Bajo, Las Gabias. Horario 9-14h y 16-21h.",las gabias,"Sin email de contacto publicado (solo teléfono y reserva vía Doctoralia/SaludOnNet de terceros, sin sistema propio). Trata datos de salud podológica (RGPD).",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
ArmiSalud Psicólogos,Pendiente,,858 135 130,info@armisaludpsicologos.com,https://armisaludpsicologos.com/,"Psicólogos: Eva María López Quirantes y Alejandro González Jesús, especialistas en Psicología de la Salud. C/ Tres Cruces 21, 1ºA, Armilla. También ofrecen logopedia/logofoniatría. Tel. alternativo 640 310 786.",armilla,Sin sistema de reserva de citas online. Datos de pacientes de categoría especial RGPD (salud mental). Sesiones recurrentes por paciente (ticket recurrente).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Mente-Salud,Pendiente,,621 29 56 92,info@mente-salud.es,https://mente-salud.es/,"Director: Manuel López Pérez (psiquiatra, jefe de servicio). Equipo de 3: + Inmaculada Fernández Ávalos y María Villasante Holgado (psicólogas). C/ Alhóndiga 23, 1º, Granada. Tel. alternativo 621 29 56 77.",granada,Sin sistema de reserva de citas online (gestión vía formulario/WhatsApp). Datos de pacientes de categoría especial RGPD (salud mental/psiquiátrica) - ticket alto en consultas de psiquiatría.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
NeuroDiver,Pendiente,,682 129 834,mroman@neurodivergranada.com,https://neurodivergranada.com/,"Centro de Terapias y Atención Temprana: logopedia, psicología infantil, neuropsicología y fisioterapia infantil. Edificio Estadio, Av. de Pampaneira, local 4 (Ronda), Granada.",granada,Sin sistema de reserva automatizado (solo formulario 'Solicita una cita'). Sin perfiles de terapeutas ni equipo visible en la web. Trata datos de salud de menores (RGPD categoría especial).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Ana Gallardo Psicología,Pendiente,,613 00 29 09,anagallardopsicologia@gmail.com,https://anagallardopsicologia.com/,"Psicóloga: Ana Gallardo Sánchez. Terapia individual, de pareja, sexual y perinatal. C/ Extremadura 2 BIS, 1ºB, Armilla. Solo pacientes privados, +500 atendidos.",armilla,Email corporativo en dominio gratuito de Gmail (sin dominio propio). Sin sistema de reservas (todo por WhatsApp/formulario). Web con secciones de FAQ sin completar. Datos de pacientes categoría especial RGPD.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Marina Navajas - Nutrición y Dietética,Pendiente,,609 51 70 05,marinanavajasf@hotmail.com,,"Dietista-nutricionista: Marina Navajas Fernández. C/ San Juan de Letrán 4, 1ºC, Granada. Tel. alternativo 958 09 81 57.",granada,"Email corporativo en dominio gratuito de Hotmail, sin web propia ni redes sociales activas detectadas. Planes de seguimiento nutricional con visitas recurrentes (ticket recurrente). Trata datos de salud (RGPD).",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Nutricionista Lourdes Sánchez,Pendiente,,,info@nutricionistalourdes.com,https://nutricionistalourdes.com/,"Dietista-nutricionista: Lourdes Sánchez. C/ Vizcaya 6, Armilla. Ofrece consulta presencial y online.",armilla,"Pendiente verificar al contactar el sistema de reservas y redes activas (web no accesible durante la prospección). Nutrición con seguimiento recurrente - trata datos de salud (RGPD), ticket recurrente.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Mónica Joseph - Dietista Nutricionista,Pendiente,,650030698,,,"Dietista-nutricionista: Mónica Joseph (Grado en Nutrición Humana y Dietética UGR 2014, Máster en Nutrición Clínica UGR 2016). C. Félix Rodríguez de la Fuente 21, Zaidín, Granada. Solo pacientes privados, requiere cita previa.",granada,"Sin web propia ni email publicado - solo perfil en Doctoralia, dependencia total de plataforma de terceros para captar pacientes. Trata datos de salud (RGPD). Oportunidad clara de crear presencia digital propia.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Imperium Crosstraining,Pendiente,,651 01 33 21,,https://imperiumcrosstraining.es/,"Box de CrossFit/crosstraining. C.C. Neptuno, C/ Arabial 45, Local 79, Granada. Reserva de clase de prueba a través de la web.",granada,"Sin email de contacto publicado, sin información de propietario/equipo. Alta recurrencia (cuotas mensuales) = oportunidad de CRM/automatización de gestión de socios.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Dragon Box Granada,Pendiente,,644 19 59 82,,https://www.dragonboxgranada.com/,"Box de CrossFit en Ctra. de Málaga 136, La Chana, Granada. Gestión de reservas vía WodBuster (dragon.wodbuster.com). Valoración 4.8/5, ~2.000 seguidores en Instagram.",granada,"Sin email de contacto, web con errores de carga (caída temporal al consultarla). Alta recurrencia (cuotas mensuales) = oportunidad de digitalizar comunicación y seguimiento de socios.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
The Box - Training Center,Pendiente,,,theboxtrainingcenter@gmail.com,https://theboxgranada.com/,"Centro de entrenamiento funcional de alta intensidad, C/ Pérez de Ayala 5, Granada. 76 valoraciones, 4.9/5. Instagram @theboxgrx.",granada,Email corporativo en dominio gratuito de Gmail. Sin sistema de reservas online ni teléfono publicado. Web con diseño funcional pero poco actualizado.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Sport Soul Centro de Entrenamiento,Pendiente,,644 911 259,,https://sportsoul.es/,"Centro de entrenamiento personal y grupos reducidos. Calle Eva Yerbabuena 27, Ogíjares (verificar dirección al llamar - algún directorio indica C. Río Beiro). Responsables: Álvaro Carrillo y Jorge Martín.",ogijares,"Sin email de contacto, sin sistema de reservas online (gestión vía Instagram). Alta recurrencia (entrenamientos periódicos) = oportunidad de automatizar agenda y seguimiento de clientes.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Baransu Studio,Pendiente,,,,https://baransustudio.com/,"Estudio de pilates (reformer). Camino de los Eriales, esquina Maestro José Merino, Maracena. Reserva de clases mediante formulario en la web.",maracena,Sin teléfono ni email de contacto publicados - solo formulario web y redes sociales (Instagram @baransu.pilates). Alta recurrencia (bonos de clases) = oportunidad de automatizar reservas y CRM de alumnas.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Kolectivo - Centro de Entrenamiento,Pendiente,,,,https://kolectivo.es/,"C/ La Malahá 11, Granada. Equipo: Álvaro López, Oliver Martos y Lourdes Vegas (entrenadores) + Mario Pérez (nutricionista). Reservas vía formulario de Google.",granada,Sin teléfono ni email de contacto publicados - reservas por Google Forms. Imágenes rotas (placeholders) en la web. Combina entrenamiento + nutrición = alta recurrencia.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Aurora Gómez Logopeda,Pendiente,,611 632 632,hola@auroralogopeda.com,https://auroralogopeda.com/,"Logopeda: Aurora Gómez Espigares (col. NICA 65.127). Av. Fernando de los Ríos 11, Bloque 3, Oficina 16, Armilla.",armilla,Sin sistema de reserva de citas online. Trata datos de salud de menores/pacientes (RGPD categoría especial). Sesiones de terapia recurrentes (ticket recurrente).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
