Nombre,Estado,Canal,Teléfono 1,Email,Web,Notas,Ciudad,Carencias,Nº actividades,Oportunidad,Mensaje de contacto,Fecha primer contacto,Linkedin,Número de actividades,Creada,Actividades,Fuente de adquisición,Fecha seguimiento,Responsable,Actividades1,Último seguimiento,Días sin contacto,🚨 Lead Atrasado,Ventas,Mes y año
Clínica del Pie Anabel Martín,Pendiente,,638 81 42 56,info@clinicadelpieanabelmartin.com,https://clinicadelpieanabelmartin.com/,"Podóloga: Anabel Martín (Grado en Podología, Universidad de Málaga), especializada en podología pediátrica y deportiva. C/ Río Bergantes 3, Local A, Torremolinos. Horario: L-J 9:30-14h y 16:30-20h, V 9-15h.",torremolinos,Sin sistema de reservas online (solo teléfono o formulario de contacto). Trata datos de salud podológica de pacientes (RGPD). Servicios de podología deportiva/infantil con seguimiento recurrente.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Conchi Cerván Psicología,Pendiente,,644 89 05 09,,https://psicologaconchicervan.es/,"Psicóloga general sanitaria: Conchi Cerván (Concepción Pérez). C. Isaac Albéniz 1, Oficina 11, Alhaurín de la Torre. Terapia individual y de pareja, enfoque cognitivo-conductual + mindfulness. Solo pacientes privados (primera consulta 15€), sesiones presenciales y online.",alhaurin de la torre,Sin email de contacto publicado (solo teléfono/web). Sin sistema de reservas online. Datos de pacientes de categoría especial RGPD (salud mental). Sesiones recurrentes (ticket recurrente).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Fran Pérez Nutrición,Pendiente,,611 60 37 23,info@franpereznutricion.com,https://franpereznutricion.com/,"Dietista-nutricionista: Francisco Pérez García ('Fran Pérez'). Calle Natalia 12, Distrito Centro, Málaga. Especializado en nutrición deportiva (incluye boxeadores), pérdida de peso y nutrición general. Consultas presenciales y online.",malaga,"Sin sistema de reservas online (gestión por WhatsApp/email, respuesta en hasta 24h laborables). Presencia en redes limitada a un único perfil de Instagram. Trata datos de salud (RGPD), seguimiento nutricional recurrente.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Areté Centro Multidisciplinar - Logopedia,Pendiente,,650 84 89 61,contacto@areterincon.es,https://www.aretecentro.com/logopedia-rincon-de-la-victoria-malaga/,"Centro multidisciplinar Areté: logopedia, psicología, pedagogía y terapia miofuncional (niños y adultos). Avda. Mediterráneo 171, Local 2, Rincón de la Victoria. Valoración 4.8/5.",rincon de la victoria,"Sin sistema de reserva de citas online (solo teléfono/email/formulario). Sin perfiles del equipo ni credenciales visibles. Trata datos de salud de menores y adultos (RGPD categoría especial), terapias recurrentes.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Audiocalia Beethoven - Centro Auditivo,Pendiente,,952 24 52 35,audiocaliamalaga@gmail.com,https://audiocaliamalaga.com/,"Centro auditivo Audiocalia, sede Beethoven. C. Beethoven 3 (Carretera de Cádiz), Málaga. Revisiones auditivas y adaptación de audífonos.",malaga,Email corporativo en dominio gratuito de Gmail (sin dominio propio). Producto de ticket muy alto (audífonos) con seguimiento/revisiones recurrentes. Trata datos de salud auditiva (RGPD).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria Dr. Nieto,Pendiente,,952 38 68 43,cvdrnieto@gmail.com,http://veterinariodrnieto.com/,"Clínica Veterinaria Dr. Nieto. C. Maestra Miret 2, Bajo, Torremolinos.",torremolinos,"Email corporativo en dominio gratuito de Gmail (sin dominio propio, pese a tener web propia). Trata datos de mascotas con visitas recurrentes (vacunas/revisiones) - oportunidad de modernizar comunicación.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Centro Veterinario Azahara,Pendiente,,615 42 79 48,,https://www.azaharaveterinaria.es/,"Clínica Veterinaria Azahara. C. Miguel de Cervantes 3, bajo, Rincón de la Victoria. Servicios: consultas, vacunación, cirugía, dental, peluquería.",rincon de la victoria,Sin email de contacto publicado (solo formulario web). Visitas recurrentes (vacunas/revisiones) sin recordatorios automatizados aparentes - oportunidad de fidelización digital.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
MR Pilates,Pendiente,,951 09 30 80,info@mrpilates.es,https://mrpilates.es/,"Centro de pilates MR Pilates. C/ Acanto 1, Málaga. Horario L-V 8:30-21h. Tel. alternativo (móvil/WhatsApp) 601 22 06 12.",malaga,Sin nombres de propietario/equipo publicados en la web pese a tener sección 'Equipo'. Sin sistema de reservas online transparente (formulario 'Solicita tu plaza'). Alta recurrencia (cuotas mensuales) = oportunidad de automatización.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
HIFT Iron Box,Pendiente,,670 62 68 37,hiftironbox@gmail.com,https://hiftironbox.es/,"Centro de entrenamiento funcional de alta intensidad (HIIT/Crossfit), con 2 sedes: Calle Quilla 23 y C. Alcalde Gómez Gómez 40 (El Viso), Málaga (zona Teatinos). Valoración 5/5 (129 reseñas).",malaga,Email corporativo en dominio gratuito de Gmail. Alta recurrencia (cuotas mensuales) = oportunidad de CRM/automatización de gestión de socios en sus 2 sedes.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Violeta Yoga,Pendiente,,656 63 78 32,yogamalagavioleta@gmail.com,https://violetayoga.com/,"Estudio de yoga dirigido por Violeta Lara (instructora desde 2012, especializada en Ashtanga Yoga). Calle Carretería 100, Málaga centro. Clases regulares, yoga prenatal, talleres, retiros y formaciones. Cuotas mensuales 40-50€.",malaga,Email corporativo en dominio gratuito de Gmail. Sin sistema de reservas online (gestión por contacto directo). Cuotas mensuales recurrentes + formaciones de ticket alto = alta oportunidad de automatización.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Adamuz Podología,Pendiente,,953 24 29 24,,,"Consulta de podología. C. Virgen de la Cabeza 2, 3ºB, Jaén. Horario: L-X 9-13:30h y 16-20h, J-V 10-14h y 16-20:30h.",jaen,Sin web ni email de contacto publicados - dependencia total de directorios de terceros (Páginas Amarillas) para ser encontrados. Trata datos de salud podológica (RGPD). Oportunidad clara de crear presencia digital propia.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Marisa Gómez Armenteros - Psicología,Pendiente,,625 07 21 28,marisagoar@hotmail.com,http://www.psicologajaen.com,"Psicóloga: Marisa Gómez Armenteros. C/ Paseo de la Estación 13, planta 4, oficina 4, Jaén. Psicología sanitaria, terapia individual, PNL, estimulación cognitiva. Horario 9-21h, atención presencial y online.",jaen,Email corporativo en dominio gratuito de Hotmail (sin dominio propio pese a tener web). Datos de pacientes de categoría especial RGPD (salud mental). Sesiones recurrentes (ticket recurrente).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Laura Moreno - Dietista Nutricionista,Pendiente,,627 37 37 21,info@lauramorenonutricion.com,https://lauramorenonutricion.com/,"Dietista-nutricionista: Laura Moreno Torres (Colegiada AND-00448). Plaza Jaén por la Paz 5, 1º (Clínica Psiconutrición Jaén). Especializada en dietoterapia, patología digestiva, intolerancias y nutrición femenina/infantil. Solo con cita previa.",jaen,"Sin sistema de reservas propio en su web - depende de Doctoralia (plataforma de terceros) para citas. Trata datos de salud (RGPD), seguimiento nutricional recurrente (ticket recurrente).",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Motiva Psicología y Logopedia,Pendiente,,953 08 74 85,motivajaen@hotmail.com,https://motivapsicologosjaen.es/,"Centro Motiva: psicología y logopedia. C/ Virgen de la Capilla 10, 1ºA, Jaén (centro, junto a Plaza de la Constitución). Tel. alternativo (móvil) 647 73 73 43.",jaen,"Email corporativo en dominio gratuito de Hotmail (sin dominio propio pese a tener web). Sin sistema de reservas online. Trata datos de salud (RGPD categoría especial), terapias recurrentes.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Centro Óptico Ayas,Pendiente,,953 27 63 04,,,"Centro óptico y auditivo con muchos años de trayectoria. Av. de Andalucía 2, Jaén.",jaen,"Sin web ni email de contacto publicados. Producto de ticket alto (gafas progresivas, audífonos) con revisiones recurrentes. Trata datos de salud visual/auditiva (RGPD).",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria Mamíferos,Pendiente,,953 22 63 65,,https://clinicaveterinariamamiferos.com/,"Clínica Veterinaria Mamíferos. C. Fuente de la Plata, Jaén. Servicios: fisioterapia, medicina regenerativa, cirugía, diagnóstico por imagen, odontología, dermatología, oftalmología. Activos en Instagram, TikTok, YouTube y Facebook.",jaen,Sin email de contacto publicado pese a tener web y redes activas. Sin sistema de reservas online (solo teléfono). Visitas recurrentes (vacunas/revisiones) - oportunidad de digitalizar agenda.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria La Carolina,Pendiente,,630 63 76 33,,,"Clínica veterinaria. Calle Peral 16, bajo, La Carolina (Jaén).",la carolina,Sin web ni email de contacto publicados - presencia digital prácticamente inexistente. Visitas recurrentes (vacunas/revisiones) - oportunidad clara de crear presencia digital propia y automatizar recordatorios.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
CrossFit Jaén,Pendiente,,686 79 31 31,info@crossfitjaen.es,https://crossfitjaen.es/,"Box de CrossFit. Polígono Industrial Los Olivares, C/ Iznatoraf 2, Jaén. Primer box afiliado de Jaén, +10 años de experiencia, horario 7-22h.",jaen,Sin nombres de propietario/equipo publicados. Reserva de clase de prueba mediante formulario manual (sin plataforma de reservas integrada). Alta recurrencia (cuotas mensuales) = oportunidad de automatización.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
