Nombre,Estado,Canal,Teléfono 1,Email,Web,Notas,Ciudad,Carencias,Nº actividades,Oportunidad,Mensaje de contacto,Fecha primer contacto,Linkedin,Número de actividades,Creada,Actividades,Fuente de adquisición,Fecha seguimiento,Responsable,Actividades1,Último seguimiento,Días sin contacto,🚨 Lead Atrasado,Ventas,Mes y año
Clínica de Fisioterapia y osteopatía en Granada ️ Bonadea. Fisioterapeuta en Granada - Osteópatas en Granada.,Pendiente,,,,https://clinicabonadea.com/,,granada,,0,,,,,0,20/5/2026 12:22pm,,,,Ana,,,,,,May 2026
Fisioterapia Invicto Granada | Ecografía y Rehabilitación,Pendiente,,,,https://saludinvicto.es/,,granada,,0,,,,,0,20/5/2026 12:22pm,,,,Ana,,,,,,May 2026
fisioterapia Inmaculada Moya,Pendiente,,,,https://fisioterapiainmamoya.es/,,granada,,0,,,,,0,20/5/2026 12:22pm,,,,Ana,,,,,,May 2026
FISIOTERAPIA SOL,Pendiente,,,fisioterapiasol@gmail.com,https://fisioterapiasol.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Clínica Fisioterapia Gallardo. Fisioterapia Avanzada y Osteopatía. Resonancia Magnética Terapéutica MBST.,Pendiente,,,,https://fisiogallardo.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Physiotherapy and Pilates center Carmen Rojas,Pendiente,,,,https://carmenrojasfisioterapia.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Irémise Fisioterapia | Fisioterapia en Granada,Pendiente,,,,https://iremisefisioterapia.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Centro de fisioterapia y fisioestética Patricia Peña,Pendiente,,,,https://fisioterapiapatriciapena.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Fisioterapia Granada | Higea Fisioterapia,Pendiente,,,higeafisioterapiagr@gmail.com,https://higeafisio.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Fisioterapia Mila Mesas - Centro de Fisioterapia y Shiatsu en Granada,Pendiente,,,milamesas12@gmail.com,https://fisioterapiamilagranada.es/?utm_source=googlemybusiness,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Martínez Plaza Fisioterapia,Pendiente,,,,https://martinezplazafisioterapia.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Miguel Peña | Fisioterapia y Osteopatía Granada,Pendiente,,,,https://miguelpenaosteopata.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Centro de Fisioterapia y Medicina Rehabilitadora San Rafael,Pendiente,,,,https://sjdgranada.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Flor Trujillo Fisioterapia y Osteopatía,Pendiente,,,,https://flortrujillofisioterapia.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Fisioterapia Granada | ACTIVA GRANADA,Pendiente,,,fisioterapiaactivagranada@gmail.com,https://fisioterapiaactivagranada.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Fisioterapia Avanzada en Granada | Salvador Mora,Pendiente,,,,https://salvadormora.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
[Fisioterapia Granada] HUMAN Centro de Fisioterapia y Readaptación,Pendiente,,,humancentrofisioterapia@gmail.com,https://humanfisioterapiagranada.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Fisioterapia en Granada Carrillo,Pendiente,,,,https://fisioterapiacarrillo.com/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Fisioterapia Granada,Pendiente,,,,https://fisioterapia-granada.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Centro de Fisioterapia Jorge Hernández,Pendiente,,,,https://jorgehernandezfisio.es/,,granada,,0,,,,,0,20/5/2026 12:21pm,,,,Ana,,,,,,May 2026
Velgar Catering,Contactado,Email,625 982 470,holavelgar@gmail.com,cateringvelgar.es,,Granada,Email de Gmail poco profesional para clientes corporativos. Sin formulario de presupuesto automatizado.,1,,,,,1,19/5/2026 4:54pm,Velgar Catering - Email,,,,19/5/2026,19/5/2026,22,,,May 2026
La Borraja Catering,Contactado,Email,958 165 291,info@laborraja.com,laborraja.com,,Granada,Sin sistema automático de presupuestos. Proceso de captación manual y lento para un servicio de alto ticket.,1,,,,,1,19/5/2026 4:54pm,La Borraja Catering - Email,,,,19/5/2026,19/5/2026,22,,,May 2026
NOS Studio Pilates,Contactado,Email,622 889 289,nospilatesestudio@gmail.com,nospilates.es,,Granada,Sin recepción fija y sin bot de reservas. Gmail. Pierde alumnos que escriben y no reciben respuesta rápida.,1,,,,,1,19/5/2026 4:54pm,NOS Studio Pilates - Email,,,,20/5/2026,20/5/2026,21,,,May 2026
Dacisa Inmobiliaria,Contactado,Email,958 273 570,info@dacisa.com,dacisa.com,,Granada,Sin visitas virtuales. Sin alertas automáticas de propiedades. Sin seguimiento de compradores potenciales.,1,,,,,1,19/5/2026 4:54pm,Dacisa Inmobiliaria - Email,,,,19/5/2026,19/5/2026,22,,,May 2026
JM Santander Asesoría,Contactado,Email,670 605 385,jm@jmsantander.com,jmsantander.com,José Manuel,Granada,Profesional independiente sin automatización. Tiempo billable perdido en tareas repetitivas. Sin sistema de captación de nuevos clientes.,1,,,,,1,19/5/2026 4:54pm,JM Santander Asesoría - Email,,,,19/5/2026,19/5/2026,22,,,May 2026
Artesano de la Luz,Contactado,Email,648 828 232,info@artesanodelaluz.com,artesanodelaluz.com,David,Granada,Sin SEO local para Granada. Solo le encuentran si ya saben su nombre. Sin página específica para bodas en Granada.,1,,,,,1,19/5/2026 4:54pm,Artesano de la Luz - Email,,,,20/5/2026,20/5/2026,21,,,May 2026
Inlingua Granada,Contactado,Email,958 216 457,granada@inlingua.es,inlinguagranada.es,,Granada,3 sedes sin sistema unificado de captación. Sin respuesta automática fuera de horario. Web corporativa genérica.,1,,,,,1,19/5/2026 4:54pm,Inlingua Granada - Email,,,,19/5/2026,19/5/2026,22,,,May 2026
Instituto Kelington,Contactado,Email,958 200 308,info@kelington.es,kelington.es,,Granada,Sin matrícula online. Sin respuesta automática fuera de horario. Web desactualizada para 30 años de academia.,1,,,,,1,19/5/2026 4:54pm,Instituto Kelington - Email,,,,19/5/2026,19/5/2026,22,,,May 2026
Inmobiliaria Granada Oeste,Contactado,Email,858 704 423,info@granadaoeste.es,inmobiliariagranadaoeste.es,,Granada,Sin respuesta rápida automatizada. Agencia pequeña que pierde frente a portales grandes por velocidad de respuesta.,1,,,,,1,19/5/2026 4:54pm,Inmobiliaria Granada Oeste - Email,,,,19/5/2026,19/5/2026,22,,,May 2026
